profile,model_a,model_b,emotion,k,n_layers,mean_overlap,std_overlap,ci_lower,ci_upper
baseline,gpt2,EleutherAI-pythia-160m,anger,2,5,0.0023862535133957865,0.0006392802326255405,0.0019024353253189474,0.002851654635742307
baseline,gpt2,EleutherAI-pythia-160m,anger,5,5,0.0013241095817647873,0.0005535310667466086,0.0010232771272421816,0.0018118076867540364
baseline,gpt2,EleutherAI-pythia-160m,anger,10,5,0.00124441038351506,0.0001832882517686275,0.001114424331462942,0.00139765664935112
baseline,gpt2,EleutherAI-pythia-160m,anger,20,5,0.0012923781061545015,8.66082574696515e-05,0.0012253245338797569,0.0013592198258265853
baseline,gpt2,EleutherAI-pythia-160m,apology,2,5,0.003331609070301056,0.001465957266515207,0.002288284385576844,0.004506032201461492
baseline,gpt2,EleutherAI-pythia-160m,apology,5,5,0.0018322853371500968,0.0003996003730351662,0.0015715889865532517,0.0021887841634452344
baseline,gpt2,EleutherAI-pythia-160m,apology,10,5,0.0013973516877740621,0.0001708736058426928,0.0012575554207433016,0.001508902387577109
baseline,gpt2,EleutherAI-pythia-160m,apology,20,5,0.001341789192520082,5.265235669833435e-05,0.0012974365381523967,0.001381733608432114
baseline,gpt2,EleutherAI-pythia-160m,gratitude,2,5,0.002735687023960054,0.0011576016662498175,0.0019028689246624708,0.003698418941348791
baseline,gpt2,EleutherAI-pythia-160m,gratitude,5,5,0.001518758968450129,0.0003234949744081037,0.0012392058502882718,0.0017673464957624675
baseline,gpt2,EleutherAI-pythia-160m,gratitude,10,5,0.0013015472562983633,9.344802007119498e-05,0.001221717009320855,0.0013698947319062426
baseline,gpt2,EleutherAI-pythia-160m,gratitude,20,5,0.0012508750427514316,0.00012508045920599142,0.0011453571962192655,0.0013314060168340802
