emotion,model1,model2,avg_similarity,std_similarity,min_similarity,max_similarity
gratitude,gpt2,pythia-160m,-0.00012804144,0.018087268,-0.040224094,0.017861843
gratitude,gpt2,gpt-neo-125m,0.002009337,0.033290137,-0.05184668,0.061813816
gratitude,pythia-160m,gpt-neo-125m,-0.011500205,0.02295303,-0.051532395,0.025353022
anger,gpt2,pythia-160m,0.0028780375,0.024534566,-0.040540345,0.041055907
anger,gpt2,gpt-neo-125m,-0.012869865,0.022916995,-0.049400218,0.025172086
anger,pythia-160m,gpt-neo-125m,-0.011756637,0.024503576,-0.05095524,0.03170829
apology,gpt2,pythia-160m,0.0069793495,0.02395105,-0.041568514,0.036944132
apology,gpt2,gpt-neo-125m,-0.0018952722,0.028586917,-0.057825904,0.04392774
apology,pythia-160m,gpt-neo-125m,-0.016571617,0.024630992,-0.048599992,0.040716346
