emotion,model1,model2,avg_overlap,std_overlap,min_overlap,max_overlap
gratitude,gpt2,pythia-160m,0.14598124,0.0074405647,0.13210355,0.15646535
gratitude,gpt2,gpt-neo-125m,0.13643938,0.008678443,0.12321992,0.15273562
gratitude,pythia-160m,gpt-neo-125m,0.13966793,0.00968104,0.121188305,0.15201768
anger,gpt2,pythia-160m,0.14894938,0.011115009,0.1346504,0.17349884
anger,gpt2,gpt-neo-125m,0.14522156,0.009682325,0.13130547,0.16256951
anger,pythia-160m,gpt-neo-125m,0.13971885,0.01462827,0.11172179,0.16087227
apology,gpt2,pythia-160m,0.15436003,0.009280079,0.13303617,0.16775993
apology,gpt2,gpt-neo-125m,0.14985296,0.0118009895,0.12847845,0.16750301
apology,pythia-160m,gpt-neo-125m,0.1380253,0.0076518473,0.12304278,0.15256396
